Cluster ID,Neighborhood,Neighborhood Locations,Neighborhood_Cluster,TotPop2000,black2000,white2000,hisp2000,asian2000,unemploy2000,ownership2000,rent2000,poverty2000,violentc2000,propertyc2000,woeducation2000,TotPop2010,black2010,white2010,hisp2010,asian2010,unemploy2010,ownership2010,rent200711,poverty2010,violentc2010,propertyc2010,woeducation200711
Cluster 01,Adams Morgan,Northwest,"Kalorama Heights, Adams Morgan, Lanier Heights",18167,0.18,0.6,0.16,0.06,0.03,0.34,0.02,0.1,0.01,0.05,0.11,18338,0.11,0.69,0.13,0.07,0.05,0.38,0.05,0.06,0.01,0.04,0.05
Cluster 02,Columbia Heights,Northwest,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",46779,0.53,0.13,0.3,0.03,0.1,0.26,0.05,0.26,0.02,0.04,0.42,47378,0.38,0.31,0.27,0.04,0.08,0.32,0.04,0.17,0.01,0.04,0.21
Cluster 03,Howard University,Northwest,"Howard University, Le Droit Park, Cardozo/Shaw",10128,0.67,0.18,0.12,0.02,0.09,0.33,0.05,0.26,0.03,0.11,0.3,12174,0.44,0.41,0.09,0.05,0.08,0.42,0.04,0.17,0.02,0.07,0.15
Cluster 04,Georgetown,Northwest,"Georgetown, Burleith/Hillandale",18741,0.04,0.85,0.04,0.07,0.02,0.52,0.03,0.15,0.01,0.05,0.02,20464,0.04,0.81,0.06,0.08,0.03,0.55,0.09,0.11,0.01,0.04,0.02
Cluster 05,Foggy Bottom,Northwest,"West End, Foggy Bottom, GWU",11723,0.06,0.75,0.05,0.13,0.28,0.29,0.03,0.28,0,0.05,0.06,16160,0.07,0.75,0.06,0.12,0.04,0.31,0.11,0.29,0,0.02,0.02
Cluster 06,Dupont Circle,Northwest,"Dupont Circle, Connecticut Avenue/K Street",16930,0.09,0.72,0.09,0.09,0.03,0.3,0.02,0.11,0.02,0.17,0.06,17318,0.08,0.73,0.08,0.11,0.03,0.32,0.04,0.13,0.01,0.09,0.04
Cluster 07,Shaw,Northwest," Shaw, Logan Circle",20865,0.5,0.25,0.18,0.06,0.08,0.23,0.05,0.25,0.02,0.05,0.28,23895,0.29,0.48,0.15,0.08,0.05,0.34,0.06,0.12,0.01,0.04,0.14
Cluster 08,North Capitol Street,Northwest,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",8609,0.71,0.16,0.042,0.081,0.2,0.093,0.065,0.33,54,312,0.34,13560,0.37,0.43,0.059,0.14,0.12,0.28,0.067,0.26,19,93,0.16
Cluster 09,Waterfront,Southwest,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",11779,0.67,0.25,0.04,0.02,0.09,0.33,0.04,0.22,0.02,0.07,0.19,11588,0.56,0.33,0.05,0.05,0.08,0.42,0.03,0.19,0.01,0.03,0.07
Cluster 10,Chevy Chase,Northwest,"Hawthorne, Barnaby Woods, Chevy Chase",12724,0.11,0.78,0.05,0.05,0.03,0.72,0.03,0.05,0,0.02,0.08,11986,0.11,0.77,0.06,0.05,0.02,0.74,0.05,0.04,0,0.02,0.04
Cluster 11,Friendship Heights,Northwest,"Friendship Heights, American University Park, Tenleytown",10490,0.05,0.84,0.05,0.05,0.02,0.77,0.03,0.04,0.01,0.06,0.04,12216,0.06,0.8,0.07,0.08,0.02,0.78,0,0.06,0,0.05,0.02
Cluster 12,Van Ness,Northwest,"North Cleveland Park, Forest Hills, Van Ness",14953,0.07,0.79,0.07,0.07,0.02,0.37,0.03,0.06,0,0.03,0.03,15550,0.07,0.75,0.08,0.1,0.04,0.36,0.07,0.09,0,0.02,0.01
Cluster 13,Wesley Heights,Northwest,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",18708,0.05,0.81,0.06,0.07,0.32,0.68,0.03,0.07,0,0.02,0.02,18558,0.04,0.8,0.07,0.08,0.06,0.68,0.04,0.08,0,0.01,0.02
Cluster 14,Cathedral Heights,Northwest,"Cathedral Heights, McLean Gardens, Glover Park",11142,0.07,0.75,0.1,0.08,0.03,0.35,0.02,0.13,0,0.02,0.04,11713,0.06,0.76,0.09,0.09,0.03,0.44,0.08,0.08,0,0.01,0.05
