clusterid,neighborhood,neighborhoodlocations,neighborhood_cluster,TotPop2000,TotPop2010,black2000,black2010,white2000,white2010,hisp2000,hisp2010,asian2000,asian2010,unemploy2000,unemploy2010,ownership2000,ownership2010,rent2000,rent200711,poverty2000,poverty2010,violentc2000,violentc2010,propertyc2000,propertyc2010,woeducation2000,woeducation200711
,pick a neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster 01,Adams Morgan,Northwest,"Kalorama Heights, Adams Morgan, Lanier Heights",18167,18338,0.18,0.11,0.6,0.69,0.16,0.13,0.06,0.07,0.03,0.05,0.34,0.38,0.02,0.05,0.1,0.06,0.01,0.01,0.05,0.04,0.11,0.05
Cluster 02,Columbia Heights,Northwest,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",46779,47378,0.53,0.38,0.13,0.31,0.3,0.27,0.03,0.04,0.1,0.08,0.26,0.32,0.05,0.04,0.26,0.17,0.02,0.01,0.04,0.04,0.42,0.21
Cluster 03,Howard University,Northwest,"Howard University, Le Droit Park, Cardozo/Shaw",10128,12174,0.67,0.44,0.18,0.41,0.12,0.09,0.02,0.05,0.09,0.08,0.33,0.42,0.05,0.04,0.26,0.17,0.03,0.02,0.11,0.07,0.3,0.15
Cluster 04,Georgetown,Northwest,"Georgetown, Burleith/Hillandale",18741,20464,0.04,0.04,0.85,0.81,0.04,0.06,0.07,0.08,0.02,0.03,0.52,0.55,0.03,0.09,0.15,0.11,0.01,0.01,0.05,0.04,0.02,0.02
Cluster 05,Foggy Bottom,Northwest,"West End, Foggy Bottom, GWU",11723,16160,0.06,0.07,0.75,0.75,0.05,0.06,0.13,0.12,0.28,0.04,0.29,0.31,0.03,0.11,0.28,0.29,0,0,0.05,0.02,0.06,0.02
Cluster 06,Dupont Circle,Northwest,"Dupont Circle, Connecticut Avenue/K Street",16930,17318,0.09,0.08,0.72,0.73,0.09,0.08,0.09,0.11,0.03,0.03,0.3,0.32,0.02,0.04,0.11,0.13,0.02,0.01,0.17,0.09,0.06,0.04
Cluster 07,Shaw,Northwest," Shaw, Logan Circle",20865,23895,0.5,0.29,0.25,0.48,0.18,0.15,0.06,0.08,0.08,0.05,0.23,0.34,0.05,0.06,0.25,0.12,0.02,0.01,0.05,0.04,0.28,0.14
Cluster 08,Chinatown,Northwest,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",8609,13560,0.71,0.37,0.16,0.43,0.042,0.059,0.081,0.14,0.2,0.12,0.093,0.28,0.065,0.067,0.33,0.26,0.54,0.19,0.312,0.093,0.34,0.16
Cluster 09,Waterfront,Southwest,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",11779,11588,0.67,0.56,0.25,0.33,0.04,0.05,0.02,0.05,0.09,0.08,0.33,0.42,0.04,0.03,0.22,0.19,0.02,0.01,0.07,0.03,0.19,0.07
Cluster 10,Chevy Chase,Northwest,"Hawthorne, Barnaby Woods, Chevy Chase",12724,11986,0.11,0.11,0.78,0.77,0.05,0.06,0.05,0.05,0.03,0.02,0.72,0.74,0.03,0.05,0.05,0.04,0,0,0.02,0.02,0.08,0.04
Cluster 11,Friendship Heights,Northwest,"Friendship Heights, American University Park, Tenleytown",10490,12216,0.05,0.06,0.84,0.8,0.05,0.07,0.05,0.08,0.02,0.02,0.77,0.78,0.03,0,0.04,0.06,0.01,0,0.06,0.05,0.04,0.02
Cluster 12,Van Ness,Northwest,"North Cleveland Park, Forest Hills, Van Ness",14953,15550,0.07,0.07,0.79,0.75,0.07,0.08,0.07,0.1,0.02,0.04,0.37,0.36,0.03,0.07,0.06,0.09,0,0,0.03,0.02,0.03,0.01
Cluster 13,Foxhall Village,Northwest,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",18708,18558,0.05,0.04,0.81,0.8,0.06,0.07,0.07,0.08,0.32,0.06,0.68,0.68,0.03,0.04,0.07,0.08,0,0,0.02,0.01,0.02,0.02
Cluster 14,Cathedral Heights,Northwest,"Cathedral Heights, McLean Gardens, Glover Park",11142,11713,0.07,0.06,0.75,0.76,0.1,0.09,0.08,0.09,0.03,0.03,0.35,0.44,0.02,0.08,0.13,0.08,0,0,0.02,0.01,0.04,0.05
Cluster 15,Woodley Park,Northwest,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",12306,12829,0.08,0.04,0.8,0.8,0.07,0.08,0.05,0.07,0.02,0.03,0.47,0.45,0.01,0.01,0.05,0.09,0,0,0.05,0.03,0.08,0.03
Cluster 16,Shepherd Park,Northwest,"Colonial Village, Shepherd Park, North Portal Estates",4030,3957,0.72,0.69,0.2,0.24,0.05,0.05,0.01,0.02,0.04,0.04,0.9,0.88,0.1,0.15,0.05,0.04,0.01,0,0.04,0.04,0.04,0.05
Cluster 17,Brightwood,Northwest,"Takoma, Brightwood, Manor Park",18441,19455,0.8,0.68,0.06,0.11,0.13,0.18,0.01,0.02,0.07,0.12,0.52,0.49,0.06,0.06,0.12,0.13,0.01,0.01,0.04,0.03,0.23,0.17
Cluster 18,Petworth,Northwest,"Brightwood Park, Crestwood, Petworth",39233,39924,0.77,0.61,0.05,0.13,0.16,0.24,0.01,0.02,0.08,0.13,0.56,0.54,0.08,0.07,0.15,0.14,0.01,0.01,0.04,0.03,0.29,0.19
Cluster 19,Fort Totten,Northeast,"Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill",12069,13206,0.79,0.7,0.16,0.17,0.02,0.11,0.02,0.02,0.2,0.09,0.52,0.53,0.06,0.04,0.1,0.14,0.01,0.01,0.03,0.03,0.18,0.17
Cluster 20,Michigan Park,Northeast,"North Michigan Park, Michigan Park, University Heights",9576,8875,0.86,0.81,0.1,0.12,0.04,0.05,0.01,0.02,0.09,0.16,0.79,0.76,0.13,0.15,0.09,0.11,0.01,0.01,0.03,0.03,0.19,0.12
Cluster 21,Edgewood,Northeast,"Edgewood, Bloomingdale, Truxton Circle, Eckington",18429,19481,0.92,0.7,0.04,0.2,0.04,0.07,0,0.02,0.15,0.14,0.45,0.49,0.13,0.14,0.23,0.17,0.02,0.01,0.04,0.04,0.31,0.18
Cluster 22,Brookland,Northeast,"Brookland, Brentwood, Langdon",8906,8459,0.88,0.78,0.07,0.14,0.03,0.06,0.01,0.02,0.12,0.12,0.57,0.58,0.06,0.1,0.21,0.23,0.02,0.02,0.07,0.06,0.26,0.18
Cluster 23,Arboretum,Northeast,"Ivy City, Arboretum, Trinidad, Carver Langston",13909,14510,0.92,0.87,0.05,0.07,0.01,0.04,0.01,0.01,0.18,0.21,0.28,0.26,0.1,0.09,0.31,0.32,0.03,0.02,0.06,0.05,0.39,0.27
Cluster 24,Woodridge,Northeast,"Woodridge, Fort Lincoln, Gateway",11348,11723,0.94,0.87,0.02,0.06,0.03,0.06,0.01,0.01,0.12,0.16,0.62,0.59,0.02,0.04,0.15,0.13,0.01,0.01,0.06,0.05,0.27,0.16
Cluster 25,Union Station,Northeast,"NoMa, Union Station, Stanton Park, Kingman Park",27370,29295,0.67,0.43,0.29,0.49,0.03,0.04,0.02,0.03,0.09,0.07,0.5,0.53,0.06,0.03,0.17,0.14,0.02,0.01,0.06,0.05,0.21,0.09
Cluster 26,Capitol Hill,Southeast,"Capitol Hill, Lincoln Park",18489,20909,0.46,0.35,0.48,0.56,0.03,0.05,0.02,0.03,0.05,0.04,0.52,0.57,0.06,0.05,0.13,0.06,0.01,0.01,0.05,0.04,0.14,0.09
Cluster 27,Navy Yard,Southeast,"Near Southeast, Navy Yard",4633,5705,0.89,0.46,0.07,0.44,0.03,0.06,0.01,0.05,0.22,0.14,0.17,0.34,0.04,0.09,0.5,0.34,0.04,0.01,0.14,0.05,0.44,0.17
Cluster 28,Historic Anacostia,Southeast,Historic Anacostia,4873,4876,0.97,0.97,0.02,0.01,0,0.01,0,0,0.22,0.17,0.26,0.21,0.14,0.1,0.38,0.44,0.02,0.03,0.05,0.04,0.33,0.25
Cluster 29,Kenilworth,Northeast,"Eastland Gardens, Kenilworth",2374,2445,0.97,0.97,0,0.01,0.01,0.02,0.01,0,0.21,0.16,0.43,0.38,0.11,0,0.28,0.41,0.02,0.01,0.04,0.06,0.31,0.24
Cluster 30,Mayfair,Northeast,"Mayfair, Hillbrook, Mahaning Heights",6167,6573,0.98,0.97,0.01,0.01,0.01,0.02,0,0,0.14,0.25,0.29,0.25,0.1,0.05,0.29,0.32,0.02,0.02,0.05,0.05,0.33,0.18
Cluster 31,Deanwood,Northeast,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",14113,14500,0.98,0.96,0.01,0.01,0.01,0.03,0,0,0.17,0.22,0.46,0.39,0.08,0.08,0.29,0.34,0.02,0.03,0.05,0.06,0.35,0.23
