GIS_ID,Neighborhood Locations,Neighborhoods,CLUSTER,TotPop,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,Total%Pop,PctUnemployed,AvgFamilyIncAdj,NumOccupiedHsgUnits,PctOwnerOccupiedHsgUnits,PctPoorPersons,Rate of Violent Crimes,Property Crimes,Year
Nbclus_001,Northwest,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,18338,0.11,0.69,0.13,0.068,0.998,0.054,162891,10992,0.38,0.056,8.9,36,1/1/2010
Nbclus_001,Northwest,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,18167,0.18,0.6,0.16,0.062,1.002,0.027,160609,10979,0.34,0.1,9,52,1/1/2000
Nbclus_001,Northwest,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1 ,17812,0.26,0.56,0.15,0.025,0.995,0.036,121128,10279,0.31,0.1,,,1/1/1990
Nbclus_010,Northwest,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,11986,0.11,0.77,0.062,0.054,0.996,0.02,254541,4967,0.74,0.037,0.8,15,1/1/2010
Nbclus_010,Northwest,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,12724,0.11,0.78,0.045,0.05,0.985,0.025,215973,4914,0.72,0.048,1.3,19,1/1/2000
Nbclus_010,Northwest,"Hawthorne, Barnaby Woods, Chevy Chase",Cluster 10,11510,0.094,0.84,0.03,0.03,0.994,0.026,177236,4839,0.69,0.036,,,1/1/1990
Nbclus_011,Northwest,"Friendship Heights, American University Park, Tenleytown",Cluster 11,12216,0.056,0.8,0.067,0.076,0.999,0.02,215289,4846,0.78,0.058,4,45,1/1/2010
Nbclus_011,Northwest,"Friendship Heights, American University Park, Tenleytown",Cluster 11,10490,0.048,0.84,0.048,0.054,0.99,0.022,241494,4402,0.77,0.035,5.3,56,1/1/2000
Nbclus_011,Northwest,"Friendship Heights, American University Park, Tenleytown",Cluster 11,10735,0.039,0.86,0.053,0.042,0.994,0.028,187529,4345,0.72,0.065,,,1/1/1990
Nbclus_012,Northwest,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,15550,0.071,0.75,0.075,0.1,0.996,0.036,217847,9170,0.36,0.087,1.6,17,1/1/2010
Nbclus_012,Northwest,"North Cleveland Park, Forest Hills, Van Ness",Cluster 12,14953,0.07,0.79,0.068,0.07,0.998,0.017,220225,9263,0.37,0.062,2.5,30,1/1/2000
